1/2007	one two thousand seventh
52/100	fifty two one hundredths
382/383	three hundred eighty two three hundred eighty thirds
1/4	one quarter
74/100	seventy four one hundredths
259/2014	two hundred fifty nine two thousand fourteenths
91/542	ninety one five hundred forty seconds
70/157	seventy one hundred fifty sevenths
36/71	thirty six seventy firsts
37/221	thirty seven two hundred twenty firsts
7/8	seven eighths
71/3	seventy one thirds
5½	five and a half
1917 / 1936	one thousand nine hundred seventeen one thousand nine hundred thirty sixths
11/2	eleven halves
1/2	one half
2/3	two thirds
27/28	twenty seven twenty eighths
9/10	nine tenths
-1/5	minus one fifth
7/10	seven tenths
1/2	one half
34/8	thirty four eighths
69/71	sixty nine seventy firsts
-3/7	minus three sevenths
1 ½	one and a half
4/5	four fifths
50/50	fifty fiftieths
49/50	forty nine fiftieths
2/6	two sixths
25/1963	twenty five one thousand nine hundred sixty thirds
511 121/2 112	five hundred eleven and one hundred twenty one two thousand one hundred twelfths
6/4	six quarters
66/8	sixty six eighths
6/8	six eighths
3/5	three fifths
633/1512	six hundred thirty three one thousand five hundred twelfths
7/9	seven ninths
301/2	three hundred one halves
2/5	two fifths
10/10	ten tenths
1/10	one tenth
4/16	four sixteenths
1/4	one quarter
5/30	five thirtieths
25/1867	twenty five one thousand eight hundred sixty sevenths
10/2008	ten two thousand eighths
65/271	sixty five two hundred seventy firsts
6/16	six sixteenths
12/5	twelve fifths
7/2007	seven two thousand sevenths
7/13	seven thirteenths
259/2014	two hundred fifty nine two thousand fourteenths
2/4	two quarters
3/35	three thirty fifths
18/1852	eighteen one thousand eight hundred fifty seconds
12/390	twelve three hundred ninetieths
8/9	eight ninths
40/61	forty sixty firsts
61/27	sixty one twenty sevenths
12/13	twelve thirteenths
1/16	one sixteenth
7/10	seven tenths
12/76	twelve seventy sixths
0/6	zero sixths
24/7	twenty four sevenths
2014/125	two thousand fourteen one hundred twenty fifths
9/1971	nine one thousand nine hundred seventy firsts
12/1974	twelve one thousand nine hundred seventy fourths
1623/4	one thousand six hundred twenty three quarters
5/ 1974	five one thousand nine hundred seventy fourths
9/21	nine twenty firsts
5/29	five twenty ninths
24/7	twenty four sevenths
5/27	five twenty sevenths
1/4538	one four thousand five hundred thirty eighth
1½	one and a half
9/10	nine tenths
9/11	nine elevenths
244/9	two hundred forty four ninths
2 1/2	two and a half
3/4	three quarters
11/23	eleven twenty thirds
6/16	six sixteenths
11/2006	eleven two thousand sixths
1800/2100	one thousand eight hundred two thousand one hundredths
24/7	twenty four sevenths
50/50	fifty fiftieths
3/8	three eighths
½	one half
5/99	five ninety ninths
1/5	one fifth
34/89	thirty four eighty ninths
10/2008	ten two thousand eighths
1/32	one thirty second
2 1/2	two and a half
1/23	one twenty third
189/190	one hundred eighty nine one hundred ninetieths
29/3275	twenty nine three thousand two hundred seventy fifths
32/2	thirty two halves
43/177	forty three one hundred seventy sevenths
3/19	three nineteenths
4/3	four thirds
115/6	one hundred fifteen sixths
8/1909	eight one thousand nine hundred ninths
9/10	nine tenths
2/23	two twenty thirds
1941/2	one thousand nine hundred forty one halves
53/1	fifty three over one
590/690	five hundred ninety six hundred ninetieths
1/5	one fifth
¼	one quarter
¼	one quarter
7456/2012	seven thousand four hundred fifty six two thousand twelfths
9/3	nine thirds
½	one half
25/27	twenty five twenty sevenths
6/26	six twenty sixths
2013/10	two thousand thirteen tenths
6/8	six eighths
1/4	one quarter
1/2	one half
18/36	eighteen thirty sixths
40/41	forty forty firsts
1/4	one quarter
2/2006	two two thousand sixths
3/8	three eighths
2/2	two halves
12/94	twelve ninety fourths
9/10	nine tenths
100/1	one hundred over one
20/1987	twenty one thousand nine hundred eighty sevenths
40/100	forty one hundredths
3/13	three thirteenths
2/14	two fourteenths
3/4	three quarters
24/7	twenty four sevenths
2/2	two halves
132/135	one hundred thirty two one hundred thirty fifths
3/5	three fifths
8/10	eight tenths
833⅓	eight hundred thirty three and a third
1/23	one twenty third
26/11	twenty six elevenths
17/20	seventeen twentieths
24/7	twenty four sevenths
21/1991	twenty one one thousand nine hundred ninety firsts
33/40	thirty three fortieths
63/111	sixty three one hundred elevenths
20/1	twenty over one
8/26	eight twenty sixths
2/3	two thirds
10/14	ten fourteenths
2/3	two thirds
4/2005	four two thousand fifths
13 ½	thirteen and a half
7/10	seven tenths
½	one half
1/1	one over one
98/8	ninety eight eighths
95/30	ninety five thirtieths
4/4	four quarters
1/3	one third
4/22	four twenty seconds
12/3	twelve thirds
1657/58	one thousand six hundred fifty seven fifty eighths
2/4	two quarters
4½	four and a half
24/7	twenty four sevenths
2/63	two sixty thirds
7/68	seven sixty eighths
9/11	nine elevenths
5/2002	five two thousand seconds
9/11	nine elevenths
-1/2	minus one half
18/36	eighteen thirty sixths
261/2004	two hundred sixty one two thousand fourths
1/8	one eighth
59/80	fifty nine eightieths
15/26	fifteen twenty sixths
243/2014	two hundred forty three two thousand fourteenths
14/16	fourteen sixteenths
2/3	two thirds
9/6	nine sixths
2004/1	two thousand four over one
3/1	three over one
1/2	one half
1/2	one half
343/38	three hundred forty three thirty eighths
1/32	one thirty second
9/10	nine tenths
1946/47	one thousand nine hundred forty six forty sevenths
2009/10	two thousand nine tenths
259/2014	two hundred fifty nine two thousand fourteenths
501/694	five hundred one six hundred ninety fourths
1/1998	one one thousand nine hundred ninety eighth
16/18	sixteen eighteenths
1 1/2	one and a half
15/16	fifteen sixteenths
226/357	two hundred twenty six three hundred fifty sevenths
2/7	two sevenths
10/14	ten fourteenths
1473/74	one thousand four hundred seventy three seventy fourths
1/4	one quarter
27/15	twenty seven fifteenths
1/28	one twenty eighth
113/114	one hundred thirteen one hundred fourteenths
1/100	one one hundredth
95/48	ninety five forty eighths
265/5	two hundred sixty five fifths
2/6	two sixths
2/8	two eighths
26/11	twenty six elevenths
23/25	twenty three twenty fifths
243/2014	two hundred forty three two thousand fourteenths
4/25	four twenty fifths
4/13	four thirteenths
12/13	twelve thirteenths
3½	three and a half
243/2014	two hundred forty three two thousand fourteenths
8/10	eight tenths
1/800	one eight hundredth
3/5	three fifths
95/98	ninety five ninety eighths
4/5	four fifths
10/10	ten tenths
7/10	seven tenths
7/10	seven tenths
11/2014	eleven two thousand fourteenths
32/33	thirty two thirty thirds
1200/4000	one thousand two hundred four thousandths
103/200	one hundred three two hundredths
3/16	three sixteenths
1/82	one eighty second
24/7	twenty four sevenths
10/11	ten elevenths
99/10	ninety nine tenths
2005 / 2009	two thousand five two thousand ninths
1740/1	one thousand seven hundred forty over one
1/4	one quarter
-1/2	minus one half
31/2	thirty one halves
3/52	three fifty seconds
4/2010	four two thousand tenths
11/12	eleven twelfths
714/715	seven hundred fourteen seven hundred fifteenths
3/1227	three one thousand two hundred twenty sevenths
353/9	three hundred fifty three ninths
2/2	two halves
162/4	one hundred sixty two quarters
324/7	three hundred twenty four sevenths
3/12	three twelfths
11½	eleven and a half
6/19	six nineteenths
9/23	nine twenty thirds
24/7	twenty four sevenths
1/6	one sixth
24/7	twenty four sevenths
24/7	twenty four sevenths
4/5	four fifths
5½	five and a half
3½	three and a half
2015/29	two thousand fifteen twenty ninths
549/61	five hundred forty nine sixty firsts
1¼	one and a quarter
358/2	three hundred fifty eight halves
358/2	three hundred fifty eight halves
6/54	six fifty fourths
358/2	three hundred fifty eight halves
1/16	one sixteenth
-1/2	minus one half
2 1/2	two and a half
10/11	ten elevenths
4 1/3	four and a third
1/2	one half
1/16	one sixteenth
2½	two and a half
84/85	eighty four eighty fifths
1946/47	one thousand nine hundred forty six forty sevenths
2013/14	two thousand thirteen fourteenths
70/70	seventy seventieths
-1/2	minus one half
-1/2	minus one half
2 1/2	two and a half
18/36	eighteen thirty sixths
3/4	three quarters
12/18	twelve eighteenths
2006/11	two thousand six elevenths
5/2	five halves
4/60	four sixtieths
5/72	five seventy seconds
350/220	three hundred fifty two hundred twentieths
7/8	seven eighths
156/147	one hundred fifty six one hundred forty sevenths
1/2	one half
⅔	two thirds
¾	three quarters
5/15	five fifteenths
21/27	twenty one twenty sevenths
11/15	eleven fifteenths
15/93	fifteen ninety thirds
4 1/2	four and a half
4 1/2	four and a half
1/85	one eighty fifth
1/2	one half
3/1999	three one thousand nine hundred ninety ninths
317/38	three hundred seventeen thirty eighths
3/27	three twenty sevenths
39/40	thirty nine fortieths
301/302	three hundred one three hundred seconds
1/5	one fifth
11/29	eleven twenty ninths
6/24	six twenty fourths
883/4	eight hundred eighty three quarters
367/6	three hundred sixty seven sixths
24/7	twenty four sevenths
9/10	nine tenths
36,201/3	thirty six thousand two hundred one thirds
14/15	fourteen fifteenths
1/1706	one one thousand seven hundred sixth
10/11	ten elevenths
12/3	twelve thirds
2005/417	two thousand five four hundred seventeenths
168/14	one hundred sixty eight fourteenths
1/2	one half
10/28	ten twenty eighths
69/70	sixty nine seventieths
4/50	four fiftieths
21/22	twenty one twenty seconds
1/2	one half
10/50	ten fiftieths
9/20	nine twentieths
1873/4	one thousand eight hundred seventy three quarters
1936/7	one thousand nine hundred thirty six sevenths
3½	three and a half
-1/2	minus one half
4/5	four fifths
217/752	two hundred seventeen seven hundred fifty seconds
16/34	sixteen thirty fourths
2002/2	two thousand two halves
1864/5	one thousand eight hundred sixty four fifths
46/47	forty six forty sevenths
18/1	eighteen over one
25/26	twenty five twenty sixths
9/2015	nine two thousand fifteenths
18/15	eighteen fifteenths
17/0	seventeen zeroths
2/31	two thirty firsts
1/3	one third
1855/56	one thousand eight hundred fifty five fifty sixths
1/2	one half
10/28	ten twenty eighths
1/35	one thirty fifth
222/2014	two hundred twenty two two thousand fourteenths
12/14	twelve fourteenths
3/29	three twenty ninths
1/94	one ninety fourth
2009/35	two thousand nine thirty fifths
2/74	two seventy fourths
289/1	two hundred eighty nine over one
9/17	nine seventeenths
9/24	nine twenty fourths
10/22	ten twenty seconds
11/5	eleven fifths
1/28	one twenty eighth
10/3	ten thirds
4/18	four eighteenths
2008/101995	two thousand eight one hundred one thousand nine hundred ninety fifths
5/5	five fifths
20/20	twenty twentieths
7/8	seven eighths
20/20	twenty twentieths
11/18	eleven eighteenths
20/20	twenty twentieths
1/2005	one two thousand fifth
9/6	nine sixths
259/2014	two hundred fifty nine two thousand fourteenths
6/48	six forty eighths
3/4	three quarters
2014/16	two thousand fourteen sixteenths
1468/69	one thousand four hundred sixty eight sixty ninths
1432/3	one thousand four hundred thirty two thirds
4/20	four twentieths
25/2000	twenty five two thousandths
2/2	two halves
1/2	one half
2/4	two quarters
4/4	four quarters
89/2008	eighty nine two thousand eighths
3½	three and a half
91/3	ninety one thirds
91/2	ninety one halves
451/452	four hundred fifty one four hundred fifty seconds
24/7	twenty four sevenths
5377/5	five thousand three hundred seventy seven fifths
1¾	one and three quarters
908/3	nine hundred eight thirds
93/6	ninety three sixths
98/31	ninety eight thirty firsts
6/77	six seventy sevenths
94/100	ninety four one hundredths
1768/9	one thousand seven hundred sixty eight ninths
4/10	four tenths
111/1998	one hundred eleven one thousand nine hundred ninety eighths
1897/8	one thousand eight hundred ninety seven eighths
-1/2	minus one half
116/118	one hundred sixteen one hundred eighteenths
1/6	one sixth
2/5	two fifths
1872/73	one thousand eight hundred seventy two seventy thirds
98/23	ninety eight twenty thirds
9/11	nine elevenths
10/18	ten eighteenths
309/310	three hundred nine three hundred tenths
311/312	three hundred eleven three hundred twelfths
88/100	eighty eight one hundredths
3 1920/21	three and one thousand nine hundred twenty twenty firsts
2007/8	two thousand seven eighths
2012/3	two thousand twelve thirds
8/16	eight sixteenths
600/854112	six hundred eight hundred fifty four thousand one hundred twelfths
10/3	ten thirds
½	one half
172/0	one hundred seventy two zeroths
19/1	nineteen over one
5/1	five over one
5/15	five fifteenths
12/11	twelve elevenths
12/3	twelve thirds
8/19	eight nineteenths
9/2009	nine two thousand ninths
3/40	three fortieths
1857/8	one thousand eight hundred fifty seven eighths
½	one half
-842/28	minus eight hundred forty two twenty eighths
4/1	four over one
1½	one and a half
509/1920	five hundred nine one thousand nine hundred twentieths
41/1881	forty one one thousand eight hundred eighty firsts
70/1881	seventy one thousand eight hundred eighty firsts
1895/96	one thousand eight hundred ninety five ninety sixths
6/20	six twentieths
262/1	two hundred sixty two over one
3688/14	three thousand six hundred eighty eight fourteenths
1964½	one thousand nine hundred sixty four and a half
1/2	one half
1/4	one quarter
7/7	seven sevenths
10/1	ten over one
3/64	three sixty fourths
-1/2	minus one half
2/20	two twentieths
10¾	ten and three quarters
2002/188	two thousand two one hundred eighty eighths
7835/97	seven thousand eight hundred thirty five ninety sevenths
-1/2	minus one half
24/7	twenty four sevenths
2/2003	two two thousand thirds
24/7	twenty four sevenths
3/18	three eighteenths
1/19	one nineteenth
5/14	five fourteenths
1/2	one half
221/7	two hundred twenty one sevenths
3/10	three tenths
5/2001	five two thousand firsts
9/11	nine elevenths
7/12	seven twelfths
20/200	twenty two hundredths
20/20	twenty twentieths
2/7	two sevenths
2/7	two sevenths
40/20	forty twentieths
40/4	forty quarters
1639/16	one thousand six hundred thirty nine sixteenths
2/3	two thirds
4/128	four one hundred twenty eighths
3/6	three sixths
9/16	nine sixteenths
½	one half
1/4	one quarter
1950/51	one thousand nine hundred fifty fifty firsts
1989/90	one thousand nine hundred eighty nine ninetieths
1992/93	one thousand nine hundred ninety two ninety thirds
2011/12	two thousand eleven twelfths
251/6	two hundred fifty one sixths
5/50	five fiftieths
180/1	one hundred eighty over one
1 1/2	one and a half
259/2014	two hundred fifty nine two thousand fourteenths
6/12	six twelfths
92/96	ninety two ninety sixths
2½	two and a half
4½	four and a half
27/1	twenty seven over one
9/11	nine elevenths
20/20	twenty twentieths
1485/6	one thousand four hundred eighty five sixths
2/14	two fourteenths
1/2	one half
1/3	one third
7/1	seven over one
73/100	seventy three one hundredths
47/12	forty seven twelfths
1946/47	one thousand nine hundred forty six forty sevenths
2010/11	two thousand ten elevenths
50/100	fifty one hundredths
20/20	twenty twentieths
11/3	eleven thirds
1/10	one tenth
1889/90	one thousand eight hundred eighty nine ninetieths
1 1/4	one and a quarter
35/36	thirty five thirty sixths
10/1	ten over one
8/13	eight thirteenths
151/248	one hundred fifty one two hundred forty eighths
12/21	twelve twenty firsts
28/96	twenty eight ninety sixths
489/490	four hundred eighty nine four hundred ninetieths
2/3	two thirds
1/27	one twenty seventh
9/22	nine twenty seconds
-1995/90	minus one thousand nine hundred ninety five ninetieths
1/2	one half
2½	two and a half
49/50	forty nine fiftieths
64 9/10	sixty four and nine tenths
20/20	twenty twentieths
1/700	one seven hundredth
2½	two and a half
1/9	one ninth
1946/47	one thousand nine hundred forty six forty sevenths
2010/11	two thousand ten elevenths
50/50	fifty fiftieths
1/10	one tenth
-1806/15	minus one thousand eight hundred six fifteenths
4/25	four twenty fifths
67411/2	sixty seven thousand four hundred eleven halves
95/1730	ninety five one thousand seven hundred thirtieths
1/399	one three hundred ninety ninth
6/60	six sixtieths
6/46	six forty sixths
2009/712	two thousand nine seven hundred twelfths
8/10	eight tenths
4/5	four fifths
1½	one and a half
4/15	four fifteenths
1072/73	one thousand seventy two seventy thirds
50/50	fifty fiftieths
8/27	eight twenty sevenths
4/5	four fifths
3/9	three ninths
2/19	two nineteenths
6/2000	six two thousandths
21/23	twenty one twenty thirds
22/40	twenty two fortieths
1/22	one twenty second
2/3	two thirds
1/25	one twenty fifth
1/500	one five hundredth
1962/3	one thousand nine hundred sixty two thirds
-2010/11	minus two thousand ten elevenths
6 7/8	six and seven eighths
8/21	eight twenty firsts
11/9	eleven ninths
30/8	thirty eighths
12/11	twelve elevenths
3/1998	three one thousand nine hundred ninety eighths
9/19806	nine nineteen thousand eight hundred sixths
68/100	sixty eight one hundredths
272/1894	two hundred seventy two one thousand eight hundred ninety fourths
18/19	eighteen nineteenths
2600/18	two thousand six hundred eighteenths
29/2011	twenty nine two thousand elevenths
1 1/2	one and a half
354 / 353	three hundred fifty four three hundred fifty thirds
1/5	one fifth
45/85	forty five eighty fifths
5/10	five tenths
98/349	ninety eight three hundred forty ninths
1742/43	one thousand seven hundred forty two forty thirds
6756/21	six thousand seven hundred fifty six twenty firsts
4/2	four halves
5½	five and a half
988/1	nine hundred eighty eight over one
1/250	one two hundred fiftieth
920/21	nine hundred twenty twenty firsts
920/921	nine hundred twenty nine hundred twenty firsts
3/4	three quarters
99/8	ninety nine eighths
99/6	ninety nine sixths
99/8	ninety nine eighths
1/2	one half
20/20	twenty twentieths
2427/2428	two thousand four hundred twenty seven two thousand four hundred twenty eighths
688/689	six hundred eighty eight six hundred eighty ninths
56/1979	fifty six one thousand nine hundred seventy ninths
1995/3120	one thousand nine hundred ninety five three thousand one hundred twentieths
1378/79	one thousand three hundred seventy eight seventy ninths
1995/26	one thousand nine hundred ninety five twenty sixths
7/11	seven elevenths
4/90	four ninetieths
13/14	thirteen fourteenths
17/20	seventeen twentieths
24/28	twenty four twenty eighths
400/800	four hundred eight hundredths
7/7	seven sevenths
33⅓	thirty three and a third
8/10	eight tenths
1/31	one thirty first
1/2500	one two thousand five hundredth
43/1	forty three over one
6077½	six thousand seventy seven and a half
9/11	nine elevenths
14/14	fourteen fourteenths
4/11	four elevenths
10/8	ten eighths
7 ½	seven and a half
½	one half
4 ½	four and a half
20/20	twenty twentieths
35/44	thirty five forty fourths
12½	twelve and a half
1826/7	one thousand eight hundred twenty six sevenths
4/5	four fifths
8/26	eight twenty sixths
9/17	nine seventeenths
11/4	eleven quarters
18172/2010	eighteen thousand one hundred seventy two two thousand tenths
2003/2645	two thousand three two thousand six hundred forty fifths
6/29	six twenty ninths
10/9	ten ninths
317/5	three hundred seventeen fifths
317/8	three hundred seventeen eighths
2/8	two eighths
251/9	two hundred fifty one ninths
1/3	one third
2004/5	two thousand four fifths
7/8	seven eighths
7/10	seven tenths
3/4	three quarters
246/117	two hundred forty six one hundred seventeenths
12/30	twelve thirtieths
-12/1930	minus twelve one thousand nine hundred thirtieths
2014 1/2	two thousand fourteen and a half
8/22	eight twenty seconds
-3/2010	minus three two thousand tenths
309/2009	three hundred nine two thousand ninths
103/49	one hundred three forty ninths
688/9	six hundred eighty eight ninths
4/19	four nineteenths
10/4	ten quarters
12/2013	twelve two thousand thirteenths
3/4	three quarters
10/13	ten thirteenths
11/12	eleven twelfths
1 1/8	one and an eighth
19/20	nineteen twentieths
1½	one and a half
4½	four and a half
5/6	five sixths
3/4	three quarters
½	one half
243/2014	two hundred forty three two thousand fourteenths
9 1/2	nine and a half
-11/29	minus eleven twenty ninths
-4/2	minus four halves
⅜	three eighths
1/2	one half
2/17	two seventeenths
673/1274	six hundred seventy three one thousand two hundred seventy fourths
1/10	one tenth
8½	eight and a half
7/9	seven ninths
28/100	twenty eight one hundredths
36/100	thirty six one hundredths
68/14	sixty eight fourteenths
24/7	twenty four sevenths
67/19	sixty seven nineteenths
1961/2	one thousand nine hundred sixty one halves
20/20	twenty twentieths
3/17150	three seventeen thousand one hundred fiftieths
20/60	twenty sixtieths
20/400	twenty four hundredths
58/292	fifty eight two hundred ninety seconds
1/2	one half
29/2012	twenty nine two thousand twelfths
47/32	forty seven thirty seconds
4/2007	four two thousand sevenths
2006/7	two thousand six sevenths
140/60	one hundred forty sixtieths
1886/87	one thousand eight hundred eighty six eighty sevenths
516/2007	five hundred sixteen two thousand sevenths
180/31	one hundred eighty thirty firsts
27/28	twenty seven twenty eighths
½	one half
259/2014	two hundred fifty nine two thousand fourteenths
10,000/1	ten thousand over one
3½	three and a half
5½	five and a half
4/4	four quarters
18/19	eighteen nineteenths
9/14	nine fourteenths
30/1950	thirty one thousand nine hundred fiftieths
9/1951	nine one thousand nine hundred fifty firsts
10/1951	ten one thousand nine hundred fifty firsts
20/1952	twenty one thousand nine hundred fifty seconds
6/6	six sixths
13/31	thirteen thirty firsts
8/7	eight sevenths
1906/7	one thousand nine hundred six sevenths
40/2011	forty two thousand elevenths
9/21	nine twenty firsts
9/6	nine sixths
12 1/8	twelve and an eighth
8 1/4	eight and a quarter
8/16	eight sixteenths
2367/495	two thousand three hundred sixty seven four hundred ninety fifths
1/2014	one two thousand fourteenth
9/22	nine twenty seconds
51 5/8	fifty one and five eighths
7/4	seven quarters
1/2	one half
231/5	two hundred thirty one fifths
24/7	twenty four sevenths
5/1985	five one thousand nine hundred eighty fifths
1/2	one half
47866 / 149	forty seven thousand eight hundred sixty six one hundred forty ninths
244/12	two hundred forty four twelfths
2 1/2	two and a half
1789/90	one thousand seven hundred eighty nine ninetieths
2/171	two one hundred seventy firsts
2 1/2	two and a half
7299/1928	seven thousand two hundred ninety nine one thousand nine hundred twenty eighths
11/6	eleven sixths
1/26	one twenty sixth
18/36	eighteen thirty sixths
313/925	three hundred thirteen nine hundred twenty fifths
5/28	five twenty eighths
20/21	twenty twenty firsts
2015/164	two thousand fifteen one hundred sixty fourths
13/3	thirteen thirds
1½	one and a half
6/16	six sixteenths
6/17	six seventeenths
11/18	eleven eighteenths
1/1997	one one thousand nine hundred ninety seventh
1/2010	one two thousand tenth
10/100	ten one hundredths
30½	thirty and a half
1347/50	one thousand three hundred forty seven fiftieths
2 1/2	two and a half
4/1	four over one
3/4	three quarters
3/4	three quarters
½	one half
9/2002	nine two thousand seconds
3/1970	three one thousand nine hundred seventieths
1/4	one quarter
7/10	seven tenths
5/18	five eighteenths
3/8	three eighths
3/1	three over one
2009/463823	two thousand nine four hundred sixty three thousand eight hundred twenty thirds
2007/8	two thousand seven eighths
84/285	eighty four two hundred eighty fifths
22/11	twenty two elevenths
206/8	two hundred six eighths
3/8	three eighths
11/1983	eleven one thousand nine hundred eighty thirds
2/3	two thirds
86/87	eighty six eighty sevenths
85/83	eighty five eighty thirds
3 ¼	three and a quarter
123/15592	one hundred twenty three fifteen thousand five hundred ninety seconds
990/12	nine hundred ninety twelfths
23/2002	twenty three two thousand seconds
31/2012	thirty one two thousand twelfths
19/20	nineteen twentieths
150/5335	one hundred fifty five thousand three hundred thirty fifths
4/5	four fifths
9/11	nine elevenths
9/11	nine elevenths
3/5	three fifths
230/2010	two hundred thirty two thousand tenths
5/54	five fifty fourths
1848/49	one thousand eight hundred forty eight forty ninths
1998/108	one thousand nine hundred ninety eight one hundred eighths
11/14	eleven fourteenths
45/100	forty five one hundredths
49/206	forty nine two hundred sixths
8/1002	eight one thousand seconds
10/23	ten twenty thirds
2002/10	two thousand two tenths
29/1	twenty nine over one
80/2005	eighty two thousand fifths
1826/7	one thousand eight hundred twenty six sevenths
14/442	fourteen four hundred forty seconds
-6/67	minus six sixty sevenths
47/121	forty seven one hundred twenty firsts
55/78	fifty five seventy eighths
3 / 5	three fifths
14/15	fourteen fifteenths
30/31	thirty thirty firsts
17/2013	seventeen two thousand thirteenths
5¼	five and a quarter
93/70	ninety three seventieths
5½	five and a half
2006/10493	two thousand six ten thousand four hundred ninety thirds
1/2	one half
30/1	thirty over one
42/2	forty two halves
4/2000	four two thousandths
1/2	one half
1823/24	one thousand eight hundred twenty three twenty fourths
4/2012	four two thousand twelfths
26/11	twenty six elevenths
37/2	thirty seven halves
1905/6	one thousand nine hundred five sixths
29/100	twenty nine one hundredths
1595/6	one thousand five hundred ninety five sixths
6/4	six quarters
22/21	twenty two twenty firsts
6/10	six tenths
11/1986	eleven one thousand nine hundred eighty sixths
1/4	one quarter
1½	one and a half
284/3	two hundred eighty four thirds
½	one half
½	one half
4/28	four twenty eighths
11/4	eleven quarters
10/18	ten eighteenths
23/90	twenty three ninetieths
7/7	seven sevenths
2005/36	two thousand five thirty sixths
1 3/8	one and three eighths
3/6	three sixths
1/1	one over one
12/28	twelve twenty eighths
1/5	one fifth
9/8	nine eighths
-8/17	minus eight seventeenths
1/5	one fifth
95/94700000	ninety five ninety four million seven hundred thousandths
7/8	seven eighths
3 2/3	three and two thirds
266/8	two hundred sixty six eighths
287/8	two hundred eighty seven eighths
2½	two and a half
1/19	one nineteenth
12/13	twelve thirteenths
24/7	twenty four sevenths
-11/1933	minus eleven one thousand nine hundred thirty thirds
1/24	one twenty fourth
2006/2504	two thousand six two thousand five hundred fourths
9/18	nine eighteenths
13/3	thirteen thirds
6/10	six tenths
31/2009	thirty one two thousand ninths
1946/47	one thousand nine hundred forty six forty sevenths
1987/88	one thousand nine hundred eighty seven eighty eighths
7/10	seven tenths
37 ¾	thirty seven and three quarters
2/13718	two thirteen thousand seven hundred eighteenths
1/16	one sixteenth
7/7	seven sevenths
2/14	two fourteenths
10/7	ten sevenths
1/20	one twentieth
1946/47	one thousand nine hundred forty six forty sevenths
2012/13	two thousand twelve thirteenths
57/60	fifty seven sixtieths
59/61	fifty nine sixty firsts
8½	eight and a half
5½	five and a half
9/10	nine tenths
1008/9	one thousand eight ninths
32/2009	thirty two two thousand ninths
2/17	two seventeenths
2/33	two thirty thirds
2/6	two sixths
1/8	one eighth
11/15	eleven fifteenths
1979/36	one thousand nine hundred seventy nine thirty sixths
1/2	one half
1/2	one half
3½	three and a half
1/26	one twenty sixth
30/100	thirty one hundredths
4/40	four fortieths
11/12	eleven twelfths
12/13	twelve thirteenths
17/6	seventeen sixths
8/6	eight sixths
196/197	one hundred ninety six one hundred ninety sevenths
1798 13/57	one thousand seven hundred ninety eight and thirteen fifty sevenths
8/1968	eight one thousand nine hundred sixty eighths
11/10	eleven tenths
184/185	one hundred eighty four one hundred eighty fifths
2/3	two thirds
8/23	eight twenty thirds
5/119	five one hundred nineteenths
22/23	twenty two twenty thirds
12901/12902	twelve thousand nine hundred one twelve thousand nine hundred seconds
9/397	nine three hundred ninety sevenths
4/224	four two hundred twenty fourths
3/223	three two hundred twenty thirds
85/1	eighty five over one
1253/57	one thousand two hundred fifty three fifty sevenths
52/3	fifty two thirds
7/283	seven two hundred eighty thirds
2/4	two quarters
1000/4	one thousand quarters
24/2007	twenty four two thousand sevenths
2010/779	two thousand ten seven hundred seventy ninths
8/10	eight tenths
3/24	three twenty fourths
1/12	one twelfth
-1/2	minus one half
11/20	eleven twentieths
3/4	three quarters
2/20	two twentieths
6/30	six thirtieths
3/28	three twenty eighths
12126/99	twelve thousand one hundred twenty six ninety ninths
2/3	two thirds
900/1800	nine hundred one thousand eight hundredths
6/22	six twenty seconds
561/2	five hundred sixty one halves
500/1000	five hundred one thousandths
243/2014	two hundred forty three two thousand fourteenths
900/1800	nine hundred one thousand eight hundredths
2000 / 7	two thousand sevenths
8146/8148	eight thousand one hundred forty six eight thousand one hundred forty eighths
51½	fifty one and a half
7/10	seven tenths
100/30	one hundred thirtieths
4/80	four eightieths
6/2012	six two thousand twelfths
-1/2	minus one half
4/27	four twenty sevenths
1/9	one ninth
11803/12	eleven thousand eight hundred three twelfths
30/60	thirty sixtieths
40/80	forty eightieths
80/11	eighty elevenths
11/1	eleven over one
8/10	eight tenths
3/4	three quarters
3/4	three quarters
10/10	ten tenths
8/20	eight twentieths
4/2	four halves
13 5/8	thirteen and five eighths
23/24	twenty three twenty fourths
4/12	four twelfths
3/8	three eighths
4½	four and a half
¾	three quarters
1/20	one twentieth
1474/5	one thousand four hundred seventy four fifths
1887/88	one thousand eight hundred eighty seven eighty eighths
1 3/8	one and three eighths
46/100	forty six one hundredths
5/6	five sixths
840/41	eight hundred forty forty firsts
8/10	eight tenths
18/9	eighteen ninths
2/5	two fifths
57/100	fifty seven one hundredths
9/10	nine tenths
125/150	one hundred twenty five one hundred fiftieths
1/16,000	one sixteen thousandth
1/500	one five hundredth
1/8	one eighth
¾	three quarters
2½	two and a half
50/50	fifty fiftieths
247/861	two hundred forty seven eight hundred sixty firsts
949/1542	nine hundred forty nine one thousand five hundred forty seconds
10/40	ten fortieths
19/20	nineteen twentieths
9/11	nine elevenths
4¾	four and three quarters
7/10	seven tenths
23/30	twenty three thirtieths
6/11	six elevenths
47/2	forty seven halves
50/1	fifty over one
14/15	fourteen fifteenths
6/9	six ninths
243/2014	two hundred forty three two thousand fourteenths
29/4	twenty nine quarters
